Species,ID,Gender,Hatch Date,weight,Price,sale price,On website,Status,Availability
Crested,CC6 Namibia x Jigsaw,Male,4/18/2024,10.86g,300,,no,Auction,
Crested,CC7 Sweetgum x Kacky,Male,6/16/2024,8g,650,,no,,
Crested,CC8 Lilly x Bloodbath,Male,6/19/2024,7g,350,,no,,
Crested,CC9 Santeelah x Gravy,Female,6/18/2024,11g,450,500,no,,
Crested,CC10 Kacky x Sundown,Female,5/14/2024,8.43g,200,,no,Auction,
Crested,CC13 Lilly x Bloodbath,Male,2/26/2024,8.62g,250,,no,Auction,
Crested,CC15 Julix x Gravy,Female,7/11/2024,1/10/1900,800,,no,,
Crested,CC16 Namibia x Jigsaw,Male,7/23/2024,8.2g,750,,no,,
Crested,CC17 Kacky x Sweetgum,Male,7/8/2024,8.35g,"1,500",,no,,
Crested,CC18 Namibia x Jigsaw,Female,5/14/2024,8.73g,200,,no,auction,
Crested,CC27 Julix x Gravy,Male,7/20/2024,,450,,,,
,CC24 Namibia x Jigsaw ,Male,1/31/2025,,,,,,
Crested,CC29 Namibia x Jigsaw,Female,5/14/2024,1/11/1900,600,700,no,,
Crested ,CC26 Sweetgum x Kacky,Male,8/9/2024,7.60g,450,,no,,
Crested,CC27 Julix x Gravy,Male,7/20/2024,9.75g,400,,no,,
Crested,CC34 Lilly x Bloodbath,Male,8/5/2024,8.8g,350,,no,,
Crested,CC35 Julix x Gravy,Female,4/29/2024,10.5g,"1,200",850,no,,
Crested,CC36 Sweetgum x Kacky,female,6/13/2024,7g,200,,no,Auction,
Crested,CC37 Lilly x blood weasel,Male,9/3/2024,,150,,no,,
Crested,CC38 Namibia jigsaw,male,8/19/2024,7.75g,350,,,,
Crested,CC39 Namibia x Jigsaw,Unsexed,6/16/2024,9.65g,900,,NO,Auction,
Crested,CC40 Jobu x brewdog,Male,9/26/2024,,"3,000",,,,
,CC41Bonfire x Brewdog,Female,10/25/2024,,,,,,
,CC42 Mucha x MidSommer,Male,8/10/2024,,,,,,
,CC12 Bane x Fiasco/Nirvana,male,6/18/2024,28.5g,"1,500",,,,
,CC43 Mucha mid sommar,male ,9/1/2024,13g,HB,,,,
,CC44 Mucha Midsinnar,Male,10/4/2024,11.8g,HB,,,,
,CC45 Jobu x Brewdog,Male,10/29/2024,17.5g,HB,,,,
,CC46 Old Bay xFirebird,Male,8/28/2024,1/13/1900,HB,,,,
,CC47 Merlin x CDL,male,9/3/2024,13g,HB,,,,
,CC48 jobu x brewdog ,male,8/29/2024,14.7g,HB,,,,
,CC49Jobu x Brewdog,Female,9/26/2024,10.5g,HB,,,,
,CC50 Jobu x Brewdog,Male,8/29/2024,15.7g,FS,,,,
,CC51 Mucha x Midsommar,Male,8/10/2025,13.7g,5k,,,,
,CC52 Cleopatra julix x slick rick,female,7/22/2022,36g,,,,,
,CC53 Pixel santeelah x carvucha,male,10/7/2022,41.6g,,,,,
,CC54 Sparkleberry Old bay x Mavis,Male,7/15/1905,35g,,,,,
,CC55 Lilly x Blood Weasel ,male,8/21/2023,55g,,,,,
,CC2025-1 Brew x Bonfire,Male,1/3/2025,,,,,,
,CC2025-2 lilly,female,4/8/2025,,,,,,
,CC2025-3 Julix X Gravy,no pores,3/21/2025,,,,,,
,CC56 Bonfire - Baller x Pandemic,female,7/14/1905,44g,,,,,
,CC57 Origin x Descent ,female,7/12/1905,60g,,,,,
,CC2025-4 Namibia x Jigsaw,,7/3/2025,,,,,,
,CC2025-5 Namibia x Jigsaw,,5/21/2025,,,,,,
,cc2025-6 blood weasel x lilly,malen lilly,6/14/2025,,,,,,
,cc2025-7 namibia x jigsaw,male,7/23/2025,5g ,,,,,
,CC2025-8 Namibia x jigsaw ,male,3/17/2025,12g,,,,,
,CC2025-9 julix x gravy,female,5/1/2025,8.5g,,,,,
,CC2025-10 brewdog x bonfire,female,6/5/2025,4.5g,,,,,
,cc2025-11 brewdog x bonfire,female,6/5/2025,7.5g,,,,,
,CC2025-12 Namibia x Jigsaw,female,4/22/2025,1/8/1900,,,,,
,CC2025-13 nambia x jigsaw,female ,5/28/2025,8g,,,,,
,CC2025-14 namibia x jigsaw,male,5/20/2025,7.2g,,,,,
,,,,,,,,,
,,,,,,,,,
,RA1 Sangria x Tiger,Female,6/26/2024,10.76g,500,,YES,,
,RA2 Starburst,Female,12/17/2023,21.19g,"2,000","1,500",yes updated,,
Gargoyke,RA3 Mars ,Male,6/27/2024,11G,"1,500",,no,,
Gargoyle,RA4 Hot Shot,Male,8/3/2024,12.5g,"2,500",,no,,
Gargoyle,RA5 Starburst ,Female,6/17/2024,16.5g,"1,500",,yes,,
Gargoyle,RA6 Caliber,Male,8/13/2024,10.34g,650,,yes new,,
Gargoyle,RA7  j mag,unsexed,1/9/2025,4.5g,400,,,,
Gargoyle,RA9 red stripe,Male,1/1/2025,1/5/1900,400,,,,
Gargoyle,RA10 Toasty,Unsexed NPV,9/9/2024,7g,"1,200",,yes,,
Gargoyle,RA12 Jrus,unsexed,10/16/2024,,100,,,,
Gargoyle ,RA13 Caliber,Male,5/21/2024,9.72g,550,,no,,
Gargoyle,RA14 Starburst,female,7/23/2024,13.5g,650,700,no,,
Gargoyle,RA15 Caliber,Male,10/10/2024,,650,,,,
Gargoyle,RA16 Spice,Male,6/24/2024,18g,"1,200",,no,,
Gargoyle,RA17 Mars,Male,4/24/2024,15.08g,3000,,yes updated,,
Gargoyle,RA18 Mars,Male,4/20/2024,13g,"2,000",,SOLD,,
Gargoyle,RA19 Redbud,Unsexed NPV,6/13/2024,12.60g,650,,no,Auction?,
Gargoyle,RA20 Spice,Female,6/25/2024,12.05g,650,,no,,
Gargoyle,RA21 Spice,Female,5/20/2024,13.5g,"1,250","1,500",yees new,,
Gargoyle,RA22 Jam,male,7/14/2024,15.46g,"1,000",750,no,,
Gargoyle,RA23 Brows,male,5/1/2024,13.55g,"1,000",,no,,
Gargoyle,RA24 SS ,Male,3/10/2024,15.05g,450,,no,Auction,
Gargoyle,RA25 Brows ,Male,9/4/2024,8.18g,"1,000",,no,,
Gargoyle,RA26 Mars,Female,5/28/2024,11.69g,"5,000",,yes updated,,
Gargoyle,RA27 Caliber,Male,4/27/2024,12.88g,650,,yes,,
Gargoyle,RA28 Starburst,Female,5/10/2024,19.54g,"1,850",,yes updated,,
Gargoyle,RA29 Starburst,Female,7/23/2024,11.84g,850,,no,,
Gargoyle,RA30 Mars,Female,5/27/2024,12g,"3,000",,no,,
Gargoyle,RA31 Jrus,Male,7/5/2024,13g,"1,200",,no,,
Gargoyle,RA32 Desire,Male,6/28/2024,10.05g,"3,500",,no,,
Gargoyle,RA33 Toasty,male,7/13/2024,16g,900,,no,,
Gargoyle,RA34 Starburst,Female,7/23/2024,10.37g,750,,no,,
